Name,Date of Birth,Gender,Marital Status,Phone Number,Email Address,Mailing Address,Language Preference,Geographical Location,Credit Score,Loan Type,Loan Amount,Loan Term,Interest Rate,Loan Purpose,EMI,IP Address,Geolocation,Repayment History,Days Left to Pay Current EMI,Delayed Payment
Pihu Deshmukh,21-03-1985,Female,Divorced,+916733650096,vedika24@example.com,"16/423
Garde Zila, Darbhanga-283073",Hindi,Gangtok,649,Auto Loan,31964,5,0.22,Medical Emergency,6748.66,172.21.245.74,"-1.8759865, 49.450238","[{'Payment Date': datetime.date(2023, 5, 26), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 14), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 7, 15), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 8, 19), 'Payment Mode': 'Debit Card'}]",14,No
Ehsaan Lad,08-04-1963,Male,Married,06449750620,darvaibhav@example.com,"13/376
Anne Path
Shimla-423675",Hindi,Dhanbad,620,Personal Loan,17640,8,0.26,Debt Consolidation,2425.36,172.21.215.29,"19.372909, -122.417888",[],4,No
Aarav Babu,13-04-2001,Male,Single,3405753666,piya60@example.net,"576
Gokhale Chowk
Proddatur-928479",Marathi,Kurnool,438,Personal Loan,21063,5,0.23,Medical Emergency,4457.89,10.216.125.98,"4.234080, -21.589796","[{'Payment Date': datetime.date(2023, 5, 24), 'Payment Mode': 'Debit Card'}]",7,No
Madhav Garg,29-12-1973,Female,Divorced,09122978854,chokshivritika@example.net,"244
Raju Path, Unnao-975354",English,Bhavnagar,358,Personal Loan,87894,6,0.21,Wedding Expenses,15559.22,192.168.138.132,"14.132452, 91.829090","[{'Payment Date': datetime.date(2023, 5, 9), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 6, 8), 'Payment Mode': 'Credit Card'}]",6,Yes
Shanaya Varma,13-02-1984,Male,Single,05599053408,wkhurana@example.net,"H.No. 148
Dhawan Marg
Bilaspur 259041",Kannada,Vijayanagaram,539,Auto Loan,50983,7,0.25,Education Fees,7902.74,10.153.2.97,"-41.267124, 57.861554","[{'Payment Date': datetime.date(2023, 5, 11), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 25), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 7, 27), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 8, 27), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 9, 19), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 10, 26), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 11, 8), 'Payment Mode': 'UPI'}]",14,Yes
Amira Dugal,05-04-1995,Male,Divorced,+911628122020,rbhargava@example.com,"H.No. 595
Wadhwa Marg, Rampur 316082",Urdu,Tirunelveli,338,Auto Loan,52283,6,0.14,Debt Consolidation,9073.09,172.19.243.137,"67.741259, -68.952932","[{'Payment Date': datetime.date(2023, 5, 18), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 11), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 7, 24), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 8, 3), 'Payment Mode': 'Net Banking'}]",2,No
Emir Gaba,18-11-1992,Female,Married,1062774107,vihaanraman@example.net,"37
Swamy Street
Bhagalpur-474889",Marathi,North Dumdum,512,Auto Loan,70414,11,0.19,Education Fees,7025.31,192.168.66.189,"-3.4562625, -129.955867","[{'Payment Date': datetime.date(2023, 5, 4), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 6, 23), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 7, 4), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 8, 9), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 9, 20), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 10, 3), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 11, 19), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 12, 15), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2024, 1, 7), 'Payment Mode': 'Debit Card'}]",7,Yes
Arnav Sathe,18-05-1979,Female,Widowed,3603539407,parinaaz45@example.com,"049, Dalal Road
Dibrugarh 964274",English,Sultan Pur Majra,380,Personal Loan,34282,3,0.22,Education Fees,11848.87,192.168.22.109,"0.878067, 8.908271","[{'Payment Date': datetime.date(2023, 5, 23), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 6, 17), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 7, 4), 'Payment Mode': 'Credit Card'}]",1,Yes
Aarush Srinivas,21-04-1961,Female,Divorced,+915253874627,qbabu@example.net,"H.No. 748, Varma Marg
Narasaraopet 989076",Kannada,Korba,581,Home Loan,86342,15,0.18,Medical Emergency,6470.85,10.26.113.94,"25.084330, 89.540652","[{'Payment Date': datetime.date(2023, 5, 26), 'Payment Mode': 'Debit Card'}]",7,No
Indrajit Vig,08-10-1959,Female,Married,02306902307,mandaonkar@example.org,"92/668, Dasgupta Circle, Srinagar-302392",Tamil,Tumkur,825,Personal Loan,10647,3,0.15,Education Fees,3638.09,10.90.168.225,"-38.9189985, 108.182729",[],6,Yes
Saksham Bava,06-12-1978,Male,Widowed,4314139505,aaryahi30@example.net,"H.No. 22
Devan Nagar, Mangalore-703587",Urdu,Proddatur,426,Personal Loan,98596,14,0.1,Debt Consolidation,7490.64,192.168.36.31,"17.0861975, -109.730160","[{'Payment Date': datetime.date(2023, 5, 2), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 6, 8), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 7, 21), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 8, 7), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 9, 3), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 10, 12), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 11, 6), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 12, 25), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2024, 1, 9), 'Payment Mode': 'Cash'}]",12,No
Tanya Talwar,08-05-1971,Male,Married,6118777105,nirvi84@example.com,"782
Kant Chowk
Thane-932470",Marathi,Bhind,781,Auto Loan,41553,1,0.14,Medical Emergency,42037.78,172.19.166.52,"28.5077415, -7.335271","[{'Payment Date': datetime.date(2023, 5, 27), 'Payment Mode': 'Debit Card'}]",12,Yes
Aaina Chowdhury,13-10-1977,Female,Divorced,0532521103,adiradani@example.com,"00/656
Kalita Chowk
Nanded 294286",Bengali,Delhi,303,Personal Loan,14365,5,0.24,Medical Emergency,3047.66,10.190.146.219,"47.7341555, 26.729041",[],10,No
Riaan Kunda,06-03-1990,Female,Married,01928297200,aayushcomar@example.org,"95/19
Dhawan Circle, Giridih-739362",Gujarati,Hubli–Dharwad,569,Auto Loan,87288,6,0.28,Wedding Expenses,15758.92,10.46.31.76,"14.8073105, 171.292686","[{'Payment Date': datetime.date(2023, 5, 26), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 11), 'Payment Mode': 'Credit Card'}]",4,No
Vaibhav Das,08-09-1994,Male,Married,+919749529954,vritika02@example.com,"196, Iyengar Road
Tirunelveli 435139",English,Muzaffarnagar,365,Home Loan,67457,5,0.24,Education Fees,14311.57,192.168.75.7,"21.1885165, 173.592658","[{'Payment Date': datetime.date(2023, 5, 19), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 6, 6), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 7, 21), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 8, 8), 'Payment Mode': 'Debit Card'}]",5,No
Advik Seth,24-03-1963,Female,Widowed,07732183250,bahlojas@example.com,"63/665
Barman Road
Mango 562685",Kannada,Gurgaon,836,Home Loan,61700,1,0.2,Medical Emergency,62728.33,192.168.95.140,"-74.7997695, 97.169440",[],11,Yes
Nishith Balan,19-09-1992,Female,Single,1404287332,priyanshdasgupta@example.com,"H.No. 70, Guha Road, Proddatur 442672",Malayalam,Tadepalligudem,747,Auto Loan,50375,2,0.23,Wedding Expenses,25913.93,10.147.107.18,"75.6526855, -139.755592","[{'Payment Date': datetime.date(2023, 5, 18), 'Payment Mode': 'Debit Card'}]",15,No
Zara Karan,20-11-1961,Male,Widowed,+911972251242,ekade@example.net,"24/878
Sidhu Street, Hindupur-998455",Urdu,Udaipur,314,Personal Loan,51153,15,0.2,Wedding Expenses,3882.41,10.130.28.138,"30.0812025, -133.030307","[{'Payment Date': datetime.date(2023, 5, 15), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 6, 25), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 7, 7), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 8, 18), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 9, 28), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 10, 11), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 11, 2), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 12, 20), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2024, 1, 9), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2024, 2, 9), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2024, 3, 11), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2024, 4, 13), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2024, 5, 18), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2024, 6, 4), 'Payment Mode': 'Net Banking'}]",10,Yes
Rania Date,16-01-1977,Male,Divorced,+913173586554,aniruddh85@example.com,"04/774, Deshmukh Road
Ambala 378054",Kannada,Hospet,802,Personal Loan,65456,3,0.25,Medical Emergency,22734.03,192.168.1.18,"88.786712, 4.189469","[{'Payment Date': datetime.date(2023, 5, 12), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 8), 'Payment Mode': 'UPI'}]",15,Yes
Onkar Setty,14-12-1960,Female,Married,6672585593,ayeshachander@example.org,"H.No. 324, Wagle Chowk, Panipat-449070",Bengali,Amroha,733,Auto Loan,22436,11,0.17,Debt Consolidation,2217.07,172.28.69.130,"-50.4482845, 129.108442","[{'Payment Date': datetime.date(2023, 5, 6), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 6, 2), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 7, 13), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 8, 18), 'Payment Mode': 'UPI'}]",2,No
Kartik Soman,16-04-1971,Male,Divorced,7238825342,saksham42@example.org,"17/84, Tandon Zila, Srikakulam-454165",Urdu,Faridabad,487,Home Loan,41933,9,0.17,Debt Consolidation,4995.44,192.168.83.253,"-70.6201855, 68.893381","[{'Payment Date': datetime.date(2023, 5, 13), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 6, 27), 'Payment Mode': 'Cash'}]",8,No
Saksham Shan,26-11-1990,Male,Widowed,5779081843,armaan30@example.org,"90
Sekhon Nagar, Thoothukudi-287209",Hindi,Rewa,488,Home Loan,17390,15,0.12,Medical Emergency,1254.23,10.101.142.18,"10.962952, -170.285936","[{'Payment Date': datetime.date(2023, 5, 27), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 27), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 7, 6), 'Payment Mode': 'UPI'}]",10,Yes
Hunar Balan,04-09-1967,Male,Divorced,5980230741,ivanawali@example.net,"H.No. 094, Toor, Aligarh 943736",Hindi,Bally,796,Personal Loan,65702,6,0.17,Debt Consolidation,11499.65,192.168.15.83,"34.490575, 176.247614","[{'Payment Date': datetime.date(2023, 5, 2), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 12), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 7, 25), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 8, 8), 'Payment Mode': 'Net Banking'}]",9,Yes
Rasha Tata,15-03-1980,Female,Divorced,6904680498,samarbava@example.org,"77/88
Batta Road
Agartala-524247",English,Bilaspur,504,Home Loan,96490,7,0.28,Education Fees,15100.48,172.29.186.52,"-62.451281, -92.815354","[{'Payment Date': datetime.date(2023, 5, 22), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 6, 8), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 7, 11), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 8, 20), 'Payment Mode': 'UPI'}]",2,Yes
Bhavin Kulkarni,21-12-1999,Male,Single,3111766114,saanvighosh@example.com,"H.No. 22, Goel Zila
Amroha-235802",Gujarati,Tirupati,353,Home Loan,50703,8,0.24,Medical Emergency,6921.46,172.19.143.147,"-80.788740, -71.840181","[{'Payment Date': datetime.date(2023, 5, 3), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 6, 13), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 7, 2), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 8, 24), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 9, 20), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 10, 19), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 11, 28), 'Payment Mode': 'Debit Card'}]",15,No
Kismat Chacko,30-10-2000,Female,Single,1514297794,indranilswaminathan@example.net,"69/710, Dugar, Proddatur 683436",Marathi,Bhavnagar,322,Personal Loan,80824,9,0.29,Debt Consolidation,10100.1,192.168.61.54,"2.5234295, 100.437976","[{'Payment Date': datetime.date(2023, 5, 18), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 6, 3), 'Payment Mode': 'Debit Card'}]",2,Yes
Ivan Banerjee,19-07-1969,Male,Widowed,06147044186,ckhare@example.com,"86/33, Bhavsar, Naihati 107294",Urdu,Hajipur,767,Home Loan,28854,11,0.18,Home Renovation,2865.02,172.20.193.130,"69.7491005, -8.316745","[{'Payment Date': datetime.date(2023, 5, 3), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 6, 3), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 7, 7), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 8, 21), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 9, 14), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 10, 27), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 11, 20), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 12, 18), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2024, 1, 28), 'Payment Mode': 'UPI'}]",8,No
Hrishita Kamdar,21-08-1963,Male,Widowed,6837536484,shanaya52@example.com,"H.No. 24
Chana Chowk
Berhampore-986210",Bengali,Ahmedabad,716,Auto Loan,12187,8,0.23,Education Fees,1657.68,172.31.248.102,"-56.1945995, -167.560971","[{'Payment Date': datetime.date(2023, 5, 14), 'Payment Mode': 'Cash'}]",13,Yes
Armaan Bajwa,06-10-1981,Male,Single,6284369162,dhruv60@example.com,"82/63
Lall Circle
Alwar-848955",Gujarati,Ratlam,387,Auto Loan,52709,1,0.14,Education Fees,53323.94,10.243.25.132,"74.3026035, 141.817648","[{'Payment Date': datetime.date(2023, 5, 22), 'Payment Mode': 'Cash'}]",6,Yes
Oorja Malhotra,01-01-2005,Female,Divorced,3307000383,hayerpriyansh@example.net,"34/950
Malhotra Nagar, Jabalpur 092579",Tamil,Motihari,317,Personal Loan,65740,8,0.18,Medical Emergency,8781.81,172.18.81.247,"-35.0138635, 79.728701",[],15,Yes
Abram Golla,07-12-1996,Male,Widowed,4382406356,iyervritika@example.com,"61/62
Sani Road
Fatehpur 539003",Malayalam,Dhanbad,423,Home Loan,72465,11,0.29,Home Renovation,7580.92,172.28.220.148,"-35.868588, 94.361101","[{'Payment Date': datetime.date(2023, 5, 9), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 6, 19), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 7, 8), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 8, 14), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 9, 11), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 10, 21), 'Payment Mode': 'Credit Card'}]",2,No
Keya Keer,08-04-1960,Male,Divorced,+911022816945,armaan73@example.org,"84/54, Chand Marg
Mysore-552108",English,Kishanganj,325,Personal Loan,82108,5,0.17,Education Fees,17126.06,172.26.94.166,"-7.075680, -78.893105",[],8,Yes
Ehsaan Chakrabarti,13-08-1998,Male,Divorced,2815232774,cganesan@example.org,"H.No. 16
Chadha Street, Kumbakonam 274325",Marathi,Karaikudi,331,Personal Loan,48676,2,0.26,Education Fees,25131.81,10.103.71.247,"37.334516, 126.544527","[{'Payment Date': datetime.date(2023, 5, 9), 'Payment Mode': 'Net Banking'}]",7,Yes
Nakul Lal,28-01-1965,Male,Widowed,8767888654,zdasgupta@example.org,"03, Sharaf
Dewas-667341",Telugu,Dharmavaram,616,Home Loan,55373,3,0.18,Education Fees,19014.14,172.30.173.121,"-52.975347, 174.725917","[{'Payment Date': datetime.date(2023, 5, 5), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 6, 19), 'Payment Mode': 'Net Banking'}]",8,Yes
Vihaan Gole,21-04-1965,Male,Married,2681534008,chandakavya@example.org,"H.No. 540, Ratta Ganj, Unnao-377824",Bengali,Nanded,319,Auto Loan,61537,2,0.12,Home Renovation,31230.79,172.31.208.123,"-27.7011295, -148.473411","[{'Payment Date': datetime.date(2023, 5, 11), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 6, 6), 'Payment Mode': 'Credit Card'}]",3,No
Mahika Shroff,11-04-1966,Female,Married,3685578745,lalladivyansh@example.com,"H.No. 850
Sangha Zila
Anantapur-187335",Tamil,Bellary,558,Auto Loan,73238,4,0.18,Medical Emergency,19001.22,10.159.101.238,"-88.668713, -24.094364",[],12,Yes
Aaryahi Chatterjee,27-02-1967,Male,Widowed,08727386536,sumerganesan@example.com,"08/77
Tandon Nagar, Shahjahanpur-909757",Hindi,Vellore,689,Personal Loan,93109,4,0.11,Wedding Expenses,23813.12,172.23.210.181,"-17.3767845, 132.992900","[{'Payment Date': datetime.date(2023, 5, 8), 'Payment Mode': 'Cash'}]",3,Yes
Elakshi Shan,02-12-1968,Female,Divorced,7509583987,ramakrishnanabram@example.com,"64/69, Sachdeva, Katni 869419",Kannada,Mysore,674,Personal Loan,14341,11,0.12,Wedding Expenses,1383.25,192.168.182.144,"-4.9712155, -94.167633",[],10,No
Anvi Dhar,27-06-1982,Male,Single,+917958396328,shayakbajaj@example.org,"424, Gara Zila
Pondicherry 512674",Urdu,Katihar,461,Auto Loan,26067,9,0.13,Medical Emergency,3055.47,192.168.207.236,"-56.938794, -131.078597","[{'Payment Date': datetime.date(2023, 5, 2), 'Payment Mode': 'Debit Card'}]",13,No
Heer Dube,18-01-1986,Female,Divorced,04042776480,ahana-02@example.com,"367
Sunder Marg, Deoghar 593572",Kannada,Nagaon,788,Personal Loan,56810,9,0.23,Home Renovation,6932.45,172.17.121.146,"3.7576805, 162.033581","[{'Payment Date': datetime.date(2023, 5, 2), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 6, 26), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 7, 12), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 8, 16), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 9, 19), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 10, 1), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 10, 10), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 11, 1), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 12, 9), 'Payment Mode': 'UPI'}]",10,No
Yashvi Deol,25-06-1977,Male,Single,9937406512,khoslashray@example.com,"222, Rau, Karnal-733576",Bengali,Orai,693,Personal Loan,71455,7,0.25,Wedding Expenses,11076.05,172.30.213.55,"31.299905, 1.333578",[],7,No
Hazel Virk,27-08-1968,Male,Single,+910157206891,obarad@example.org,"54/73, Deshpande Circle
Ballia 502884",Telugu,Gulbarga,619,Personal Loan,83361,6,0.24,Medical Emergency,14882.09,192.168.209.72,"21.7976115, -74.239694","[{'Payment Date': datetime.date(2023, 5, 8), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 6, 6), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 7, 16), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 8, 25), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 9, 5), 'Payment Mode': 'Cash'}]",8,Yes
Mohanlal Vig,06-10-1992,Male,Married,5708795609,sheresamiha@example.org,"17/20, Manda Circle, Surendranagar Dudhrej-777095",Malayalam,Anantapuram,533,Home Loan,86105,12,0.25,Home Renovation,8183.78,192.168.246.222,"16.6114255, -46.166066","[{'Payment Date': datetime.date(2023, 5, 3), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 3), 'Payment Mode': 'Credit Card'}]",4,No
Hunar Dora,07-01-1997,Female,Single,7869786651,bhandarivritika@example.org,"861, Agrawal Street, Panipat 757198",Tamil,Chinsurah,316,Personal Loan,44085,15,0.22,Home Renovation,3388.3,172.29.80.148,"1.2067005, -19.655432","[{'Payment Date': datetime.date(2023, 5, 12), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 6, 28), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 7, 7), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 8, 21), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 9, 12), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 10, 26), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 11, 21), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 12, 1), 'Payment Mode': 'Debit Card'}]",2,No
Amani Sandhu,30-04-2002,Female,Married,3665146676,advika54@example.net,"H.No. 955, Ramaswamy Chowk, Ulhasnagar 092275",Marathi,Pune,738,Personal Loan,99342,10,0.19,Debt Consolidation,10819.68,10.229.135.24,"-82.555094, -71.458245","[{'Payment Date': datetime.date(2023, 5, 15), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 6, 4), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 7, 10), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 8, 23), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 9, 9), 'Payment Mode': 'Credit Card'}]",15,Yes
Kabir Rama,30-04-1966,Female,Widowed,+914608906673,amiragaba@example.net,"H.No. 83, Mane Marg
Khammam 443879",Bengali,Gaya,682,Personal Loan,51508,5,0.19,Education Fees,10796.05,172.22.212.212,"-9.904445, 77.683074","[{'Payment Date': datetime.date(2023, 5, 9), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 6, 18), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 7, 23), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 8, 5), 'Payment Mode': 'Credit Card'}]",1,No
Madhup Bhagat,03-01-1966,Male,Married,00680945452,aayush97@example.net,"H.No. 305, Saha Zila
Nashik-937225",Marathi,Kumbakonam,571,Home Loan,61014,5,0.14,Education Fees,12633.2,10.144.138.77,"-12.874850, 165.684900","[{'Payment Date': datetime.date(2023, 5, 28), 'Payment Mode': 'Net Banking'}]",8,No
Uthkarsh Krish,12-04-1972,Male,Married,2159328638,chaudharyonkar@example.com,"H.No. 49
Bava Circle
Chapra-444143",Malayalam,Karnal,770,Auto Loan,31991,14,0.19,Wedding Expenses,2565.65,10.192.178.217,"-47.343803, -9.607052","[{'Payment Date': datetime.date(2023, 5, 15), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 5), 'Payment Mode': 'Credit Card'}]",12,No
Trisha Bhasin,08-05-1995,Male,Widowed,03354971547,hazelsood@example.com,"52/07, Jani Nagar, Ghaziabad-095235",Malayalam,Jamnagar,473,Home Loan,68332,2,0.14,Wedding Expenses,34765.06,192.168.60.86,"68.3976675, 33.306177","[{'Payment Date': datetime.date(2023, 5, 15), 'Payment Mode': 'Cash'}]",14,Yes
Aradhya Ram,13-05-1999,Male,Widowed,+918109140680,darshitsekhon@example.net,"454
Srinivas Ganj, Jalna-632196",Kannada,Patna,507,Home Loan,53758,3,0.27,Wedding Expenses,18731.68,10.19.109.157,"36.2567345, -64.254082","[{'Payment Date': datetime.date(2023, 5, 1), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 5, 17), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 6, 27), 'Payment Mode': 'Cash'}]",11,Yes
Neelofar Lal,23-03-1995,Male,Single,06113379156,mangatdevansh@example.org,"H.No. 134, Swaminathan, Bhilai 190641",Hindi,Shimoga,301,Personal Loan,42015,5,0.19,Education Fees,8806.32,172.16.14.62,"-76.663692, 52.800213","[{'Payment Date': datetime.date(2023, 5, 24), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 8), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 7, 26), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 8, 3), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 9, 7), 'Payment Mode': 'Debit Card'}]",14,Yes
Nishith Swamy,07-10-1983,Male,Divorced,09966124425,faiyazwable@example.com,"04
Rau Road
Sultan Pur Majra 527493",Tamil,Sultan Pur Majra,321,Personal Loan,33450,3,0.29,Wedding Expenses,11693.21,10.186.42.38,"-16.818654, 65.828201","[{'Payment Date': datetime.date(2023, 5, 4), 'Payment Mode': 'Debit Card'}]",5,Yes
